Group_Indicator,Gender,Issue_Age_Bucket,Incurred_Age_Bucket,Issue_Year_Bucket,Policy_Year,Marital_Status,Premium_Class,Underwriting_Type,Coverage_Type_Bucket,Tax_Qualification_Status,Inflation_Rider,Rate_Increase_Flag,Restoration_of_Benefits,NH_Orig_Daily_Ben_Bucket,ALF_Orig_Daily_Ben_Bucket,HHC_Orig_Daily_Ben_Bucket,NH_Ben_Period_Bucket,ALF_Ben_Period_Bucket,HHC_Ben_Period_Bucket,NH_EP_Bucket,ALF_EP_Bucket,HHC_EP_Bucket,Region,Active_Exposure,Total_Exposure,Claim_Count,Count_NH,Count_ALF,Count_HHC,Count_Unk
Group,Female,55-59,55-59,2003-2005, 1-3 years,Single,Standard,Other,Comprehensive,Tax-qualified,Inflation protection,No,No,100-199, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,37.583332,37.583332,0,0,0,0,0
Individual,Female,60-64,70-74,1997-1999,10-12 years,Single,Preferred,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,14.5,14.5,0,0,0,0,0
Group,Female,50-54,60-64,2000-2002,10-12 years,Unknown,Standard,Unknown,Comprehensive,Tax-qualified,No inflation protection,Yes,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,2250,2252,0,0,0,0,0
Individual,Female,55-59,70-74,1994-1996,13-15 years,Married,Standard,Other,Comprehensive,Tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,19,19,0,0,0,0,0
Individual,Male,60-64,65-69,2003-2005, 4-6 years,Married,Substandard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,Yes,100-199,100-199, < 100,  3-4 year,  3-4 year,  5-9 year,  90,  90,  20,02: Northeast,2,2,0,0,0,0,0
Group,Female,65-69,70-74,1994-1996, 7-9 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,165,167,0,0,0,0,0
Individual,Male,50-54,60-64,1997-1999,10-12 years,Single,Standard,Unknown,Comprehensive,Non-tax-qualified,No inflation protection,No,No,100-199, < 100, < 100, Unlimited, Unlimited, Unlimited,  20,  20,  20,05: Other,2,2,0,0,0,0,0
Individual,Male,50-54,50-54,2000-2002, 1-3 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199,100-199,100-199, Unlimited, Unlimited, Unlimited,  90,  90,  30,02: Northeast,9,9,0,0,0,0,0
Group,Male,65-69,70-74,2006-2008, 7-9 years,Unknown,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No,200+,200+,100-199,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,3,3,0,0,0,0,0
Individual,Female,70-74,75-79,1997-1999, 4-6 years,Single,Preferred,Other,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No, < 100, < 100, < 100,   < 3 year,Unknown,   < 3 year,  90,  20,  20,04: West,3,3,0,0,0,0,0
Group,Male, 0-49,55-59,2000-2002, 7-9 years,Married,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,11,11,0,0,0,0,0
Individual,Male,50-54,55-59,2000-2002, 7-9 years,Single,Standard,Unknown,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,3,3,0,0,0,0,0
Individual,Male,50-54,60-64,1997-1999, 7-9 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,4,4,0,0,0,0,0
Group,Male, 0-49,55-59,1991-1993,10-12 years,Married,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,Yes,200+,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,2,2,0,0,0,0,0
Individual,Male, 0-49,50-54,1997-1999,13-15 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown, Unlimited, Unlimited, Unlimited,   0,   0,   0,04: West,17,17,0,0,0,0,0
Individual,Male,65-69,75-79,1991-1993,10-12 years,Married,Preferred,Other,Comprehensive,Non-tax-qualified,No inflation protection,No,No, < 100, < 100, < 100,   < 3 year, Unlimited, Unlimited,  90,  20,  20,03: South,2.833333,2.833333,0,0,0,0,0
Individual,Female, 0-49, 0-49,2006-2008, 7-9 years,Married,Preferred,Full underwriting,Other,Tax-qualified,Inflation protection,No,No,100-199,100-199,Unknown, Unlimited, Unlimited,Unknown,  90,  90,   0,Unknown,3,3,0,0,0,0,0
Individual,Female,60-64,65-69,1997-1999, 4-6 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No, < 100,Unknown, < 100, Unlimited, Unlimited, Unlimited,   0,   0,   0,03: South,3,3,0,0,0,0,0
Individual,Female,70-74,75-79,2003-2005, 7-9 years,Single,Standard,Full underwriting,Other,Tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,5,5,0,0,0,0,0
Individual,Male,60-64,65-69,2003-2005, 7-9 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100,  5-9 year,Unknown,  3-4 year,  90,  90,  90,01: Mid-West,3,3,0,0,0,0,0
Individual,Male,60-64,70-74,2003-2005, 7-9 years,Married,Preferred,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,200+,100-199,200+,Unknown,Unknown,Unknown,  90,  90,   0,01: Mid-West,5,5,0,0,0,0,0
Group,Female,70-74,80-84,1994-1996,10-12 years,Single,Standard,Other,Other,Non-tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,2,2,0,0,0,0,0
Group,Male,55-59,85-89, < 1991,15+ years,Unknown,Standard,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,Yes,Yes,200+,Unknown,200+,   < 3 year,Unknown,   < 3 year,   0,   0,   0,03: South,4.916666,4.916666,0,0,0,0,0
Individual,Male,55-59,60-64,2003-2005, 4-6 years,Unknown,Standard,Unknown,Comprehensive,Non-tax-qualified,Inflation protection,Yes,Yes, < 100,100-199,100-199,  3-4 year,  3-4 year,   < 3 year,  90,  90,   0,04: West,1.583333,1.583333,0,0,0,0,0
Individual,Female,50-54,55-59,2003-2005, 4-6 years,Single,Standard,Unknown,Comprehensive,Tax-qualified,No inflation protection,No,Yes,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,19.166666,19.166666,0,0,0,0,0
Group,Male,50-54,55-59,1997-1999, 1-3 years,Unknown,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,Yes,200+,200+,200+,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,16,16,0,0,0,0,0
Individual,Female,60-64,65-69,1997-1999, 1-3 years,Married,Preferred,Other,Comprehensive,Tax-qualified,No inflation protection,Yes,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,  90,  90,  30,03: South,2,2,0,0,0,0,0
Individual,Male,75-79,90+,1991-1993,13-15 years,Unknown,Standard,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,1,7,1,1,0,0,0
Individual,Female,65-69,80-84,1994-1996,13-15 years,Single,Preferred,Other,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No,100-199, < 100,100-199,  3-4 year,Unknown,   < 3 year,  90,  20,  20,01: Mid-West,2,2,0,0,0,0,0
Individual,Male,70-74,90+,1994-1996,15+ years,Single,Standard,Other,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,7.5,11,2,0,1,1,0
Individual,Female,60-64,65-69,2003-2005, 4-6 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes,100-199,100-199,100-199,  5-9 year,  5-9 year,  5-9 year,  90,  90,  20,01: Mid-West,16,16,0,0,0,0,0
Individual,Male,60-64,60-64,2003-2005, 4-6 years,Unknown,Standard,Unknown,Comprehensive,Non-tax-qualified,GPO,Yes,Yes,Unknown,Unknown,Unknown,  3-4 year,  3-4 year,  3-4 year,   0,   0,   0,03: South,2,2,0,0,0,0,0
Individual,Male,55-59,55-59,1997-1999, 1-3 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199, < 100, < 100, Unlimited, Unlimited, Unlimited,  30,  30,  30,Unknown,4.749999,4.749999,0,0,0,0,0
Individual,Female,60-64,65-69,1997-1999, 1-3 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,261.49997,261.49997,0,0,0,0,0
Individual,Male,70-74,85-89,1997-1999,15+ years,Married,Standard,Full underwriting,Other,Tax-qualified,Inflation protection,No,No, < 100, < 100,Unknown, Unlimited, Unlimited,Unknown, 180, 180,   0,Unknown,2,2,0,0,0,0,0
Individual,Female,55-59,60-64,2012-2014, 4-6 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes,100-199,100-199,100-199, Unlimited, Unlimited, Unlimited,  90,  90,  20,04: West,2,2,0,0,0,0,0
Individual,Male, 0-49,50-54,1997-1999, 4-6 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No,100-199,100-199, < 100, Unlimited, Unlimited, Unlimited,   0,   0,   0,02: Northeast,3,3,0,0,0,0,0
Group,Female, 0-49,50-54,2006-2008, 4-6 years,Unknown,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,Yes,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,05: Other,5,5,0,0,0,0,0
Individual,Male,65-69,70-74,1997-1999, 7-9 years,Single,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,76,77,1,0,0,1,0
Individual,Female,65-69,65-69,1994-1996, 7-9 years,Unknown,Preferred,Unknown,Other,Non-tax-qualified,Inflation protection,Yes,No, < 100, < 100,Unknown,   < 3 year,   < 3 year,Unknown,  20,  20,   0,03: South,2,2,0,0,0,0,0
Individual,Female,55-59,70-74,1991-1993,10-12 years,Single,Standard,Full underwriting,Other,Non-tax-qualified,Unknown,No,No,Unknown,Unknown,Unknown, Unlimited, Unlimited,Unknown,   0,   0,   0,Unknown,26,26,0,0,0,0,0
Individual,Female,80-84,90+,2003-2005,10-12 years,Married,Standard,Unknown,Comprehensive,Tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,9,9,1,0,0,1,0
Individual,Male,50-54,55-59,2000-2002, 4-6 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100, Unlimited, Unlimited,  5-9 year,   0,   0,   0,04: West,3,3,0,0,0,0,0
Individual,Female,70-74,80-84,2006-2008, 7-9 years,Married,Standard,Unknown,Comprehensive,Tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,4.25,4.25,0,0,0,0,0
Individual,Male,75-79,90+,1997-1999,15+ years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes, < 100, < 100, < 100,  3-4 year,  3-4 year,  3-4 year,  90,  90,  90,Unknown,17.499996,19.416662,1,1,0,0,0
Individual,Male,60-64,65-69,2003-2005,10-12 years,Unknown,Standard,Unknown,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes,100-199,100-199,100-199, Unlimited, Unlimited, Unlimited,  90,  90,   0,03: South,2,2,0,0,0,0,0
Individual,Female,50-54,55-59,2000-2002,10-12 years,Married,Substandard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,4,4,0,0,0,0,0
Individual,Female,50-54,60-64,2000-2002,10-12 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199,100-199,100-199,   < 3 year,   < 3 year,   < 3 year,  90,  90,  30,04: West,2,2,0,0,0,0,0
Individual,Female,75-79,80-84,1997-1999, 4-6 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes,100-199, < 100,100-199,  5-9 year,  5-9 year,  5-9 year,  90,  90,  90,Unknown,3,3,0,0,0,0,0
Group,Female,75-79,65-69,2003-2005, 1-3 years,Unknown,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,03: South,2,2,0,0,0,0,0
Individual,Female, 0-49,50-54,2006-2008, 4-6 years,Single,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,9,9,0,0,0,0,0
Individual,Male,65-69,65-69,2003-2005, 4-6 years,Single,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No, < 100, < 100, < 100, Unlimited, Unlimited, Unlimited,  30,  30,  30,03: South,2,2,0,0,0,0,0
Individual,Male,70-74,80-84,2003-2005,13-15 years,Unknown,Standard,Unknown,Comprehensive,Tax-qualified,GPO,Yes,Yes,Unknown,Unknown,Unknown,   < 3 year,   < 3 year,   < 3 year,   0,   0,   0,04: West,4,4,0,0,0,0,0
Group,Female,60-64,75-79,1997-1999,13-15 years,Married,Standard,Other,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100,  5-9 year,Unknown,  5-9 year,  90,  20,  20,02: Northeast,3,3,0,0,0,0,0
Individual,Female,60-64,80-84,1994-1996,15+ years,Married,Preferred,Other,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No, < 100, < 100,100-199,  3-4 year,Unknown,   < 3 year,  90,  20,  20,03: South,14.5,14.5,0,0,0,0,0
Individual,Male,60-64,70-74,1997-1999, 7-9 years,Married,Standard,Other,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown, Unlimited,Unknown,Unknown,   0,   0,   0,03: South,3,3,0,0,0,0,0
Individual,Female,55-59,60-64,2003-2005, 4-6 years,Unknown,Standard,Unknown,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes,100-199,200+,200+, Unlimited, Unlimited, Unlimited,  20,  20,   0,01: Mid-West,7,7,0,0,0,0,0
Individual,Male,50-54,50-54,2012-2014, 1-3 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,  90,  90,   0,04: West,5,5,0,0,0,0,0
Individual,Female,55-59,70-74,1994-1996,15+ years,Married,Preferred,Other,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No,100-199, < 100,100-199, Unlimited,Unknown,   < 3 year,  90,  20,  20,04: West,11,11,0,0,0,0,0
Group,Male,60-64,55-59,2003-2005, 4-6 years,Unknown,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,03: South,52,52,0,0,0,0,0
Group,Male, 0-49, 0-49,2009-2011, 1-3 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,No,200+,200+,200+,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,6,6,0,0,0,0,0
Individual,Female, 0-49,55-59,2006-2008, 7-9 years,Single,Preferred,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,14.666666,14.666666,0,0,0,0,0
Individual,Female,60-64,60-64,1997-1999, 1-3 years,Married,Preferred,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199,100-199,200+,Unknown,Unknown,Unknown,  30,   0,   0,04: West,2,2,0,0,0,0,0
Group,Male,65-69,75-79,2000-2002, 7-9 years,Unknown,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,3,3,0,0,0,0,0
Group,Male,55-59,55-59,1994-1996, 4-6 years,Unknown,Standard,Unknown,Other,Non-tax-qualified,GPO,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,4.0833321,4.0833321,0,0,0,0,0
Individual,Male,60-64,75-79,2000-2002,13-15 years,Unknown,Substandard,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,2.5,2.5,0,0,0,0,0
Individual,Male,75-79,85-89,1997-1999,13-15 years,Married,Preferred,Other,Comprehensive,Tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,13.166666,14.833333,2,1,0,1,0
Individual,Male,65-69,70-74,2003-2005, 7-9 years,Married,Preferred,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199,100-199,200+,Unknown,Unknown,Unknown,  90,  90,   0,01: Mid-West,13,13,0,0,0,0,0
Individual,Male,60-64,60-64,2000-2002, 4-6 years,Married,Preferred,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,04: West,6,6,0,0,0,0,0
Individual,Female,50-54,60-64,2003-2005, 7-9 years,Married,Preferred,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,  90,  90,   0,04: West,17.5,17.5,0,0,0,0,0
Individual,Female, 0-49, 0-49,2003-2005, 7-9 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown, Unlimited, Unlimited,  3-4 year,   0,   0,   0,01: Mid-West,14,14,0,0,0,0,0
Individual,Female,70-74,85-89, < 1991,15+ years,Single,Standard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,19.916666,21.499998,2,1,1,0,0
Individual,Male,55-59,60-64,2003-2005,10-12 years,Married,Standard,Unknown,Other,Tax-qualified,Inflation protection,Yes,Yes,100-199,100-199,100-199,   < 3 year,   < 3 year,   < 3 year,  90,  90,  90,01: Mid-West,2,2,0,0,0,0,0
