Gender,Incurred_Age_Bucket,Incurred_Year_Bucket,Claim_Type,Region,Diagnosis_Category,Claim_Duration,Exposure,Deaths,Recovery,Terminations,Benefit_Expiry,Others_Terminations
Female,Unknown,2009-2010,HCC,Unknown,Unknown, 80,77,0,2,2,1,0
Female,Unknown,2003-2004,NH,Unknown,Unknown, 86,49,1,0,1,0,0
Female,Unknown,2005-2006,Other,Unknown,Unknown, 88,16,1,0,1,0,0
Female,Unknown,2003-2004,ALF,Unknown,Unknown,114,29,1,0,1,0,0
Female,Unknown, < 2001,NH,Unknown,Unknown,  4,56,5,1,6,0,0
Female,Unknown, < 2001,HCC,Unknown,Unknown,  1,68,4,5,9,0,0
Male,Unknown,2011-2012,Other,Unknown,Unknown, 50,30,0,0,1,0,1
Female,Unknown,2011-2012,ALF,Unknown,Unknown,  4,58,0,0,0,1,0
Female,Unknown,2009-2010,ALF,Unknown,Unknown, 83,32,1,0,1,0,0
Male,Unknown,2015-2016,HCC,Unknown,Unknown, 18,68,2,0,3,0,1
Female,Unknown,2009-2010,NH,Unknown,Unknown, 41,51,1,1,2,1,0
Female,Unknown,2007-2008,Other,Unknown,Unknown, 15,42,2,0,2,0,0
Male,Unknown, < 2001,NH,Unknown,Unknown, 32,57,1,0,1,0,0
Male,Unknown,Unknown,Other,Unknown,Unknown,161,19,0,0,0,0,0
Female,Unknown,Unknown,Other,Unknown,Unknown,157,35,0,0,0,0,0
Male,Unknown,2001-2002,Other,Unknown,Unknown, 62,21,1,0,1,0,0
Male,Unknown,2007-2008,Other,Unknown,Unknown, 87,16,0,0,0,0,0
Male,Unknown,Unknown,Other,Unknown,Unknown,207,10,0,0,0,0,0
Male,Unknown, < 2001,HCC,Unknown,Unknown, 16,66,0,1,1,0,0
Female,Unknown,2009-2010,NH,Unknown,Unknown,  2,40,2,1,3,0,0
Female,Unknown,2003-2004,Other,Unknown,Unknown, 33,26,0,1,1,0,0
Female,Unknown, < 2001,Other,Unknown,Unknown, 22,39,0,0,0,0,0
Male,Unknown,Unknown,NH,Unknown,Unknown,205,15,0,0,0,0,0
Female,Unknown,2003-2004,ALF,Unknown,Unknown, 29,48,0,0,0,0,0
Female,Unknown,2005-2006,ALF,Unknown,Unknown, 91,46,0,0,0,0,0
Male,Unknown,2005-2006,Other,Unknown,Unknown, 41,17,0,0,0,0,0
Female,Unknown,Unknown,NH,Unknown,Unknown,162,75,3,1,4,0,0
Male,Unknown,2003-2004,NH,Unknown,Unknown, 37,64,0,0,0,0,0
Female,Unknown,2011-2012,ALF,Unknown,Unknown, 39,44,0,0,0,1,0
