Month,DiscFactor
0,0.999767
1,0.999534
2,0.999301
3,0.999068
4,0.998835
5,0.998602
6,0.998369
7,0.998136
8,0.997903
9,0.997671
10,0.997438
11,0.997206
12,0.996535
13,0.995802
14,0.995069
15,0.994337
16,0.993606
17,0.992875
18,0.992144
19,0.991414
20,0.990685
21,0.989956
22,0.989228
23,0.9885
24,0.986952
25,0.985406
26,0.983863
27,0.982321
28,0.980783
29,0.979246
30,0.977713
31,0.976181
32,0.974652
33,0.973125
34,0.971601
35,0.970079
36,0.967934
37,0.965772
38,0.963614
39,0.961461
40,0.959313
41,0.95717
42,0.955031
43,0.952898
44,0.950769
45,0.948645
46,0.946525
47,0.944411
48,0.941935
49,0.93944
50,0.936952
51,0.93447
52,0.931994
53,0.929526
54,0.927063
55,0.924608
56,0.922159
57,0.919716
58,0.91728
59,0.91485
60,0.912096
61,0.909325
62,0.906564
63,0.903811
64,0.901066
65,0.89833
66,0.895602
67,0.892882
68,0.890171
69,0.887467
70,0.884772
71,0.882085
72,0.879407
73,0.876736
74,0.874074
75,0.871419
76,0.868773
77,0.866135
78,0.863504
79,0.860882
80,0.858268
81,0.855661
82,0.853063
83,0.850472
84,0.847685
85,0.844885
86,0.842094
87,0.839313
88,0.83654
89,0.833777
90,0.831023
91,0.828278
92,0.825543
93,0.822816
94,0.820098
95,0.817389
96,0.814689
97,0.811998
98,0.809316
99,0.806643
100,0.803978
101,0.801322
102,0.798676
103,0.796037
104,0.793408
105,0.790787
106,0.788175
107,0.785572
108,0.782977
109,0.780391
110,0.777813
111,0.775244
112,0.772683
113,0.770131
114,0.767587
115,0.765051
116,0.762525
117,0.760006
118,0.757495
119,0.754993
120,0.75249
121,0.749994
122,0.747506
123,0.745026
124,0.742555
125,0.740092
126,0.737637
127,0.73519
128,0.732752
129,0.730321
130,0.727899
131,0.725484
132,0.723078
133,0.720679
134,0.718289
135,0.715906
136,0.713531
137,0.711164
138,0.708805
139,0.706454
140,0.704111
141,0.701775
142,0.699448
143,0.697128
144,0.694815
145,0.69251
146,0.690213
147,0.687924
148,0.685642
149,0.683368
150,0.681101
151,0.678842
152,0.67659
153,0.674346
154,0.672109
155,0.669879
156,0.667657
157,0.665443
158,0.663235
159,0.661035
160,0.658843
161,0.656657
162,0.654479
163,0.652308
164,0.650144
165,0.647988
166,0.645839
167,0.643696
168,0.641561
169,0.639433
170,0.637312
171,0.635198
172,0.633091
173,0.630991
174,0.628898
175,0.626812
176,0.624733
177,0.62266
178,0.620595
179,0.618536
180,0.616485
181,0.61444
182,0.612402
183,0.61037
184,0.608345
185,0.606328
186,0.604317
187,0.602312
188,0.600314
189,0.598323
190,0.596338
191,0.59436
192,0.592389
193,0.590424
194,0.588465
195,0.586513
196,0.584568
197,0.582629
198,0.580696
199,0.57877
200,0.57685
201,0.574937
202,0.57303
203,0.571129
204,0.569234
205,0.567346
206,0.565464
207,0.563588
208,0.561719
209,0.559856
210,0.557999
211,0.556148
212,0.554303
213,0.552464
214,0.550632
215,0.548805
216,0.546985
217,0.545171
218,0.543362
219,0.54156
220,0.539763
221,0.537973
222,0.536189
223,0.53441
224,0.532637
225,0.530871
226,0.52911
227,0.527354
228,0.525605
229,0.523862
230,0.522124
231,0.520392
232,0.518666
233,0.516946
234,0.515231
235,0.513522
236,0.511818
237,0.510121
238,0.508429
239,0.506742
240,0.505061
241,0.503386
242,0.501716
243,0.500052
244,0.498393
245,0.49674
246,0.495092
247,0.49345
248,0.491813
249,0.490182
250,0.488556
251,0.486936
252,0.48532
253,0.48371
254,0.482106
255,0.480507
256,0.478913
257,0.477324
258,0.475741
259,0.474163
260,0.47259
261,0.471023
262,0.46946
263,0.467903
264,0.466351
265,0.464804
266,0.463262
267,0.461725
268,0.460194
269,0.458667
270,0.457146
271,0.45563
272,0.454118
273,0.452612
274,0.451111
275,0.449614
276,0.448123
277,0.446636
278,0.445155
279,0.443678
280,0.442207
281,0.44074
282,0.439278
283,0.437821
284,0.436369
285,0.434921
286,0.433478
287,0.432041
288,0.430607
289,0.429179
290,0.427755
291,0.426337
292,0.424922
293,0.423513
294,0.422108
295,0.420708
296,0.419313
297,0.417922
298,0.416535
299,0.415154
300,0.413777
301,0.412404
302,0.411036
303,0.409673
304,0.408314
305,0.406959
306,0.405609
307,0.404264
308,0.402923
309,0.401587
310,0.400254
311,0.398927
312,0.397604
313,0.396285
314,0.39497
315,0.39366
316,0.392354
317,0.391053
318,0.389756
319,0.388463
320,0.387174
321,0.38589
322,0.38461
323,0.383334
324,0.382063
325,0.380795
326,0.379532
327,0.378273
328,0.377018
329,0.375768
330,0.374521
331,0.373279
332,0.372041
333,0.370807
334,0.369577
335,0.368351
336,0.367129
337,0.365911
338,0.364698
339,0.363488
340,0.362282
341,0.361081
342,0.359883
343,0.358689
344,0.357499
345,0.356313
346,0.355132
347,0.353954
348,0.352779
349,0.351609
350,0.350443
351,0.34928
352,0.348122
353,0.346967
354,0.345816
355,0.344669
356,0.343526
357,0.342386
358,0.341251
359,0.340119
