rwpath,recordID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150,T151,T152,T153,T154,T155,T156,T157,T158,T159,T160,T161,T162,T163,T164,T165,T166,T167,T168,T169,T170,T171,T172,T173,T174,T175,T176,T177,T178,T179,T180,T181,T182,T183,T184,T185,T186,T187,T188,T189,T190,T191,T192,T193,T194,T195,T196,T197,T198,T199,T200,T201,T202,T203,T204,T205,T206,T207,T208,T209,T210,T211,T212,T213,T214,T215,T216,T217,T218,T219,T220,T221,T222,T223,T224,T225,T226,T227,T228,T229,T230,T231,T232,T233,T234,T235,T236,T237,T238,T239,T240,T241,T242,T243,T244,T245,T246,T247,T248,T249,T250,T251,T252,T253,T254,T255,T256,T257,T258,T259,T260,T261,T262,T263,T264,T265,T266,T267,T268,T269,T270,T271,T272,T273,T274,T275,T276,T277,T278,T279,T280,T281,T282,T283,T284,T285,T286,T287,T288,T289,T290,T291,T292,T293,T294,T295,T296,T297,T298,T299,T300,T301,T302,T303,T304,T305,T306,T307,T308,T309,T310,T311,T312,T313,T314,T315,T316,T317,T318,T319,T320,T321,T322,T323,T324,T325,T326,T327,T328,T329,T330,T331,T332,T333,T334,T335,T336,T337,T338,T339,T340,T341,T342,T343,T344,T345,T346,T347,T348,T349,T350,T351,T352,T353,T354,T355,T356,T357,T358,T359
295,6202,36797.307705,51393.781107,79822.692384,85802.082281,120611.728657,134099.821808,128069.735582,144113.04173,150290.631337,150081.031846,142996.282354,133340.241205,137051.836552,140476.934075,131197.70027,113694.875662,103981.70021,83605.929887,87456.539838,88268.061864,100199.098254,111623.476178,111098.971811,103543.724012,82220.853869,77275.77041,81112.749647,83952.19093,81540.724439,75297.114489,76862.481516,86528.436883,88817.10979,80921.047316,75294.580723,67936.502672,57364.387813,56670.879194,42237.164272,35284.364017,29054.101419,13618.625393,14456.891171,20789.415136,12641.374053,45010.720231,49481.696297,61757.330323,60968.639427,56236.31514,31640.97625,21324.771966,42124.976641,34914.064089,41706.107888,39212.546336,55883.137295,53545.490258,37614.674395,39374.661946,27032.550188,63996.014489,80663.89395,77676.715011,83360.085454,64746.016138,52885.66572,46972.815976,41283.069941,39752.395544,14390.896153,37068.935075,69626.382445,47166.387635,54397.924616,46620.363502,28434.19355,52287.915067,37102.944489,56967.040276,35112.267342,24406.226298,23280.411879,26808.938957,22657.55376,2509.397609,0,0,0,0,0,0,0,-4953.736772,1080.261663,0,0,0,0,0,0,0,0,0,0,-5147.464894,82.232545,0,0,0,0,0,0,0,0,0,0,-5581.785782,6684.06274,2538.261002,0,0,0,0,0,0,0,0,0,-6243.42299,0,0,0,0,0,0,0,0,0,0,0,-6573.139974,24007.662403,66672.197618,71766.228501,25391.997736,0,0,0,0,0,0,0,-7280.885784,0,0,0,0,0,0,0,0,0,0,0,-8846.919528,0,0,0,0,0,0,0,0,0,0,0,44139.264066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,6203,16837.178449,30305.104709,51018.335837,54871.788292,87674.951215,100791.070169,97273.065691,112681.703197,116294.191589,111577.423229,100618.545819,89685.170435,103157.500103,108567.757079,100925.908774,85185.852542,76238.243612,55392.173169,58020.654656,55853.657258,65081.404456,67387.208363,61222.556458,54526.760815,44332.692,43749.975138,46284.780699,48574.691411,45549.191759,37852.14165,38222.486394,48434.310478,52893.769852,35321.078344,22394.489711,14380.210176,12560.967768,14278.304781,605.492004,0,0,0,0,0,0,0,0,4397.233244,14905.457586,13128.996666,0,0,0,0,0,0,13357.318079,2031.579972,0,0,-4749.929009,35064.081163,49018.433142,47350.236326,50937.610936,31238.017266,17173.554538,10119.19572,7215.290017,0,0,0,20132.503935,4394.403562,13064.652985,5256.698972,0,8923.684378,0,14195.054214,0,0,0,0,-4916.621282,0,0,0,0,0,0,0,0,0,0,0,-5909.093239,0,0,0,0,0,0,2229.659961,0,0,0,0,35157.643433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,6204,0,1215.123659,5274.933112,6219.65067,10642.432718,12442.570962,12140.282573,15428.049749,16368.312895,15419.65609,14252.488776,13293.771939,13633.088233,14103.5498,12846.206327,10874.072339,9551.223862,7199.68069,7425.94176,8663.336599,10552.450421,10871.457959,10644.247624,9743.457748,6926.885313,6273.708771,6875.020199,7505.528299,7498.836343,6846.988731,7172.207735,9423.327951,10197.266972,8298.474438,6902.266008,6040.147238,4826.46337,4855.28096,3195.41975,2316.36318,1716.703039,209.139466,480.903915,2873.503045,1867.220105,4643.294223,4575.911716,5985.488046,5965.104497,5288.538697,2145.154287,1152.973313,3696.476237,3078.409735,3874.520512,4638.660235,7124.29524,5895.051203,3258.546908,3375.140509,2074.985067,6630.084873,8079.888709,7699.226237,8103.141094,6174.808696,4795.584541,5392.716211,5205.618123,3567.226844,544.713001,2957.292785,6450.355962,3577.864093,4895.729202,3824.106639,1652.335099,4341.090899,2723.286856,6224.815684,4135.927912,1769.031861,1073.493243,1539.705173,1039.674041,0,0,0,0,0,0,-653.112641,0,0,0,0,0,0,0,0,0,0,0,-653.555681,0,0,0,0,0,0,0,0,0,0,0,-718.662254,0,0,0,0,0,0,0,0,0,0,0,-786.440519,0,0,0,0,0,0,0,0,0,0,0,-852.460048,0,2627.104282,5157.189808,9898.120733,10543.238775,5500.652152,498.504715,0,0,0,0,-905.040996,1835.258053,615.522481,0,0,0,0,0,0,0,0,0,-941.497732,0,0,0,0,0,0,0,0,0,0,0,-1170.368936,0,0,94.146061,0,0,0,0,0,0,0,0,-1618.740042,0,0,1953.651773,4480.321413,0,0,0,0,0,0,0,-1863.448316,0,0,2453.924316,8909.294079,15802.384206,21498.548561,12650.563127,4613.16474,1974.603232,0,0,-2004.400277,0,0,12233.399666,0,0,0,0,0,0,0,0,-2108.28451,0,9860.197008,0,12857.436679,7612.847723,1848.255444,16752.496863,14789.991998,12431.182203,5124.527114,8364.086108,22017.758728,37791.730827,28140.990212,15299.836179,10419.632994,0,0,0,0,0,0,0,-2322.675381,0,0,0,0,0,0,0,0,0,0,0,-3053.354356,0,0,0,0,0,0,0,0,0,0,0,-3343.49137,0,0,0,0,0,0,0,0,0,0,0,-3455.296925,11036.166408,6709.033679,0,0,0,2811.233863,2467.722635,0,0,0,0,12175.207205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,6205,0,13163.455363,31745.863752,34227.658539,61911.344081,73225.853915,69679.995724,82767.560155,85903.65131,82620.26901,73431.593268,63878.16643,68133.584302,75540.42646,72626.660604,59495.243025,52109.19587,34507.837771,37478.19465,36031.392081,43836.679653,46334.95439,40724.314153,35144.985257,18668.917658,22316.905418,27262.857173,28445.891316,24588.770505,17931.633448,18453.902609,27561.9815,31690.180202,16468.798735,6621.098319,0,0,-3272.726352,0,0,0,0,0,0,0,0,0,0,0,-3283.249951,0,0,0,0,0,0,1293.75533,0,0,0,0,7487.069374,23600.135482,22385.307506,26132.524149,8317.387549,0,0,0,0,0,0,0,-3400.868891,6825.61824,700.981498,0,3636.432891,0,7828.858825,0,0,0,0,0,-3754.721188,0,0,0,0,0,0,0,0,0,0,0,-4569.078468,0,0,0,275.825028,0,16982.479872,3112.922865,0,0,0,0,-4766.665568,0,0,0,0,0,0,0,0,0,0,0,35090.271237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,6206,8082.62004,13002.964919,24058.832024,27149.361135,34624.469397,37082.292066,35818.156284,38822.576399,40682.799619,38256.696154,35927.476986,33966.959004,34665.067007,35657.81746,34781.571442,31534.306387,29438.758918,24928.452865,25379.406743,25506.15891,28339.664467,28666.528116,28141.880705,26334.160268,21158.307234,19406.182972,23028.476354,25286.085724,26017.802121,24848.85235,24940.453235,26673.638208,26553.078728,23491.564701,20930.64023,19148.63162,16553.812278,16705.629443,16187.647098,16628.831978,16078.169239,12254.04299,12734.303807,14656.666847,12383.357987,16592.14755,15955.35123,18601.76023,17886.385288,16244.891667,13401.304889,12864.192201,17496.324296,15734.351977,17105.627081,15923.1314,18988.940876,16955.77586,11778.055875,11566.325132,7643.320005,15975.211833,22049.096638,22157.485702,23045.639358,20239.216246,17935.386204,17195.964101,14907.462062,11650.37911,5138.092601,10604.542208,18763.76787,13020.301313,17253.383281,16307.588887,13173.274182,18348.1926,15555.575351,19682.129701,14685.269206,9906.393475,9334.987074,10563.35538,8802.717968,4057.45962,1914.78242,5221.971214,3272.854786,0,1574.604843,0,0,0,0,0,0,0,11254.05349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,6207,10720.534706,24009.309474,51300.526721,56513.173683,95149.937733,111088.783857,106174.417097,131441.057819,139355.814455,133406.525836,121965.7239,110699.472278,115631.905609,118641.384454,110002.275329,91904.204198,81289.042188,58494.814439,62520.307183,70002.105565,84829.984092,88576.425697,83177.575539,75479.251148,52580.748631,47997.948207,51708.749644,54385.336325,50363.859069,42504.437859,44217.875338,63978.972368,71672.610131,52695.245333,41100.716738,32855.387852,20504.187303,18730.215942,3053.487055,0,0,0,0,-4143.443436,0,18646.646049,19765.643687,33014.056952,33343.602554,27893.917504,197.536534,0,10865.770351,3455.214616,10889.98614,19194.544645,42745.534107,29872.017328,8814.673205,11905.305211,449.496957,41050.264624,58456.961168,56194.161107,61469.155314,39094.697487,24315.790733,25919.276313,26193.859542,15884.769531,0,3574.45928,35866.017087,12893.251519,22364.830753,13990.16581,0,18656.366418,2388.739753,33028.642767,12761.461577,0,0,0,0,0,0,0,0,0,0,-4922.093337,0,0,0,0,0,0,0,0,0,0,0,-5092.905182,0,0,0,0,0,0,0,0,0,0,0,-5825.986591,0,0,0,0,0,0,0,0,0,0,0,-6648.024535,0,0,0,0,0,0,0,0,0,0,0,-7434.26771,0,30244.233947,60119.514212,110044.587888,117588.07969,65016.590332,8829.564903,0,0,0,0,-8057.563946,23796.722373,8287.399074,0,0,0,0,0,0,0,0,0,-8481.648723,0,0,0,0,0,0,0,0,0,0,0,-11072.603697,0,0,0,0,0,0,0,0,0,0,0,-16066.921414,5719.288215,0,15084.905313,68388.864714,0,0,0,0,0,0,0,157214.210492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,6208,4356.047366,5051.990905,7185.897097,7513.384926,11978.221339,13950.220067,13798.448203,16100.694764,16208.890398,17001.465658,16077.416019,14668.769213,15296.930057,15427.734672,14673.077212,12815.449367,11561.836821,8826.559486,9111.628767,8665.589801,9712.351806,33059.10395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,6209,0,4195.875274,30779.822378,37059.582326,60841.117015,67209.147868,60270.098045,74776.822496,85959.772627,77550.286358,69392.939577,61769.98203,64632.298448,67630.863087,56945.595866,41354.875746,35358.602735,19128.618222,21641.005802,30202.585206,43247.002077,44112.9718,40975.310014,34849.143427,18993.313233,12664.666185,15700.569865,18586.749981,20847.999489,16315.023306,15268.064642,29427.921351,31756.470607,21920.617961,14309.694533,7984.401683,0,0,0,0,0,0,0,-3688.257351,0,8655.369766,6323.293238,15420.799357,11870.037125,6220.380575,0,0,0,0,0,108.687126,13587.983805,6566.357587,0,0,0,587.87538,15655.586723,12171.756264,16450.109236,6442.03253,0,5044.685416,349.232101,0,0,0,16807.820904,0,485.171264,0,0,2930.897735,0,16144.318417,3095.776409,0,0,0,0,0,0,0,0,0,0,-4157.267743,0,0,0,0,0,0,0,0,0,0,0,-4224.194467,0,0,0,0,0,0,0,0,0,0,0,-4625.53971,0,0,0,0,0,0,0,0,0,0,0,-5210.915327,0,0,0,0,0,0,0,0,0,0,0,-5749.704414,0,13423.609971,24902.453093,54736.620959,55835.274368,17470.333989,0,0,0,0,0,-6263.93308,5663.141746,1873.99591,0,0,0,0,0,0,0,0,0,-6475.734047,0,0,0,0,0,0,0,0,0,0,0,-7746.522328,0,0,0,0,0,0,0,0,0,0,0,-10558.791085,0,0,2917.135073,2469.081311,0,0,0,0,0,0,0,-12785.315654,0,0,0,39948.936177,79048.854762,110517.289224,69124.278094,12409.701606,10574.589449,0,0,73686.235171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,6210,19729.769875,25737.044935,35949.998881,38400.015055,47638.753258,51203.078312,49998.642745,54303.508314,56022.484537,55357.218229,53968.635238,52251.616131,52765.037855,54102.704488,51040.669535,46610.004428,43873.404351,39249.423091,39901.563542,40485.143789,43874.681659,46878.375096,47772.299183,45741.932951,39750.806739,38296.400485,39777.236997,41200.979842,41510.747057,40470.904344,41240.357851,43169.9761,43172.283291,41872.309934,40618.991752,38927.281586,36679.398065,37130.912933,33662.334337,32758.748399,31895.202895,28228.423868,28772.446814,30836.788443,27404.796371,35363.98053,36288.261211,39380.647214,39089.329599,37905.430262,31659.454247,29956.657867,35160.156312,33726.701493,35446.146275,34006.915403,37672.177988,37563.060492,33221.348113,33176.783198,30012.869186,39388.551165,42936.069769,41882.620509,43075.998815,39598.637543,37250.139785,36139.249509,33962.850087,32669.962308,27830.813331,34034.25685,42345.993979,36169.400815,38423.316342,36259.842877,32088.187202,37867.614745,34296.777369,39007.025823,33779.638445,30883.618397,30570.03672,32024.950888,30949.069761,26345.719843,20976.450457,23892.688638,22141.513873,17794.088302,20447.147138,16954.002144,12218.50179,15245.105773,17197.657426,13809.669968,12908.089503,9553.811203,10819.203452,11781.310032,9889.065866,13021.57589,11760.59647,18751.394631,16266.802193,16326.251033,17607.302721,15610.172093,10025.785836,13815.582601,9658.087433,9384.74874,4707.623667,3636.86947,3922.758339,6131.546176,2952.117114,4549.61388,7337.908622,6767.951295,894.824854,0,0,0,0,0,0,0,0,-1444.14465,0,0,1283.051429,1019.628802,0,0,0,0,0,0,0,11179.780924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,6211,1912.977988,3994.47852,8342.799432,11044.195825,17070.631423,18778.270071,17923.469323,19962.058551,21023.588461,19876.430565,17975.513814,16094.689788,16903.334106,17251.74915,15429.414097,14103.00016,13462.831589,9792.41911,10192.698909,9851.152469,11568.152366,11759.30025,10734.572218,9543.079316,6113.703922,4921.1627,5415.813778,7784.893667,8620.992296,7364.955258,7174.782854,8780.619211,9143.068602,6488.785789,4238.647075,2776.11098,480.209062,132.810098,0,-859.064479,0,0,0,0,0,271.026933,0,1806.600567,1385.512669,23.454867,0,-886.326026,3585.35474,2095.556538,3095.154349,2738.426728,5465.780164,3742.088114,13.227164,196.063202,0,3655.979454,6438.981974,7868.039291,9270.969932,6504.56392,4273.04141,3442.839172,2288.038765,464.426779,0,0,3715.971853,0,969.382384,1499.071431,0,3719.73921,1644.531459,4830.83389,813.662532,0,0,0,0,0,0,-955.071366,0,0,0,0,0,0,0,0,0,0,0,-1064.283579,0,0,0,2259.248782,0,0,0,0,0,0,0,-1143.739209,0,0,0,0,0,0,0,0,0,0,0,-1264.417324,3426.491237,3363.659236,0,0,0,0,0,0,0,0,0,-1332.038614,0,0,0,0,0,0,0,4386.120979,5150.727803,0,0,-1493.810968,0,0,0,0,0,0,0,0,0,0,0,-1733.057983,0,0,5786.025368,13416.987095,0,0,0,0,0,0,0,-1917.992758,0,0,5769.877467,0,0,0,0,0,0,0,0,-2371.516586,0,0,0,0,0,0,0,0,0,0,0,21413.938926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
